pandal_id,pandal_name,region,source_year,latitude,longitude,nearest_metro,nearest_metro_distance_km,nearest_railway_station,popularity_score,expected_crowd_level,famous,family_friendly,best_time_to_visit,theme,description,image_url,metro_assignment_note,geocode_query,geocode_status,geocoded_display_name,geocode_source,coordinate_status,location_status,queries_attempted,google_maps_url,openstreetmap_url
11,Brindaban Matri Mandir Durga Puja,North Kolkata,2025,22.602645,88.374712,Shyambazar,0.5,Kolkata Railway Station,8.3,Moderate,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/brindaban_matri_mandir_durga_puja.jpg,web-verified station address; locality-based assignment,"Brindaban Matri Mandir Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Brindaban Matri Mandir Durga Puja, Brindaban Matri Mandir, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Brindaban Matri Mandir Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.602645,88.374712",https://www.openstreetmap.org/?mlat=22.602645&mlon=88.374712#map=17/22.602645/88.374712
12,Calcutta Youth Forum,North Kolkata,2025,22.610412,88.360934,Shyambazar,0.7,Kolkata Railway Station,8.4,Moderate,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/calcutta_youth_forum.jpg,web-verified station address; locality-based assignment,"Calcutta Youth Forum, North Kolkata, Kolkata, West Bengal, India",success,"Calcutta Youth Forum, Calcutta Youth Forum, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Calcutta Youth Forum, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.610412,88.360934",https://www.openstreetmap.org/?mlat=22.610412&mlon=88.360934#map=17/22.610412/88.360934
13,Campbagan Sadharan Durgotsav,North Kolkata,2025,22.594234,88.371123,Shyambazar,0.9,Kolkata Railway Station,8.5,Moderate,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/campbagan_sadharan_durgotsav.jpg,web-verified station address; locality-based assignment,"Campbagan Sadharan Durgotsav, North Kolkata, Kolkata, West Bengal, India",success,"Campbagan Sadharan Durgotsav, Campbagan Sadharan, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Campbagan Sadharan Durgotsav, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.594234,88.371123",https://www.openstreetmap.org/?mlat=22.594234&mlon=88.371123#map=17/22.594234/88.371123
14,Chaltabagan Lohapatty Durga Puja,North Kolkata,2025,22.584123,88.369512,Girish Park,1.1,Kolkata Railway Station,9.4,High,True,True,22:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/chaltabagan_lohapatty_durga_puja.jpg,web-verified station address; locality-based assignment,"Chaltabagan Lohapatty Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Chaltabagan Lohapatty Durga Puja, Chaltabagan Lohapatty, North Kolkata, Kolkata, West Bengal, 700006, India",OpenStreetMap Nominatim,valid,verified,"Chaltabagan Lohapatty Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.584123,88.369512",https://www.openstreetmap.org/?mlat=22.584123&mlon=88.369512#map=17/22.584123/88.369512
15,Chorebagan Sarbojanin Durgotsab Samity,North Kolkata,2025,22.609845,88.367523,Shyambazar,0.3,Kolkata Railway Station,7.2,Low,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/chorebagan_sarbojanin_durgotsab_samity.jpg,web-verified station address; locality-based assignment,"Chorebagan Sarbojanin Durgotsab Samity, North Kolkata, Kolkata, West Bengal, India",success,"Chorebagan Sarbojanin Durgotsab Samity, Chorebagan Durgotsab Samity, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Chorebagan Sarbojanin Durgotsab Samity, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.609845,88.367523",https://www.openstreetmap.org/?mlat=22.609845&mlon=88.367523#map=17/22.609845/88.367523
16,Cossipore Shakti Sangha Durga Puja,North Kolkata,2025,22.593612,88.377734,Shyambazar,0.5,Kolkata Railway Station,7.3,Low,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/cossipore_shakti_sangha_durga_puja.jpg,web-verified station address; locality-based assignment,"Cossipore Shakti Sangha Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Cossipore Shakti Sangha Durga Puja, Cossipore Shakti Sangha, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Cossipore Shakti Sangha Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.593612,88.377734",https://www.openstreetmap.org/?mlat=22.593612&mlon=88.377734#map=17/22.593612/88.377734
17,Dakshin Rabindrapally Sarbojanin Durga Puja,North Kolkata,2025,22.601423,88.363945,Shyambazar,0.7,Kolkata Railway Station,7.4,Low,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/dakshin_rabindrapally_sarbojanin_durga_puja.jpg,web-verified station address; locality-based assignment,"Dakshin Rabindrapally Sarbojanin Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Dakshin Rabindrapally Sarbojanin Durga Puja, Dakshin Rabindrapally, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Dakshin Rabindrapally Sarbojanin Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.601423,88.363945",https://www.openstreetmap.org/?mlat=22.601423&mlon=88.363945#map=17/22.601423/88.363945
18,Darjeepara Sarbojanin Durgotsab Samity,North Kolkata,2025,22.609212,88.374123,Shyambazar,0.9,Kolkata Railway Station,7.5,Low,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/darjeepara_sarbojanin_durgotsab_samity.jpg,web-verified station address; locality-based assignment,"Darjeepara Sarbojanin Durgotsab Samity, North Kolkata, Kolkata, West Bengal, India",success,"Darjeepara Sarbojanin Durgotsab Samity, Darjeepara Durgotsab Samity, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Darjeepara Sarbojanin Durgotsab Samity, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.609212,88.374123",https://www.openstreetmap.org/?mlat=22.609212&mlon=88.374123#map=17/22.609212/88.374123
19,Deshbandhunagar Sarbojanin Durgotsab,North Kolkata,2025,22.614734,88.368112,Dum Dum,1.1,Dum Dum Junction Railway Station,7.6,Low,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/deshbandhunagar_sarbojanin_durgotsab.jpg,web-verified station address; locality-based assignment,"Deshbandhunagar Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India",success,"Deshbandhunagar Sarbojanin Durgotsab, Deshbandhunagar Durgotsab, North Kolkata, Kolkata, West Bengal, 700055, India",OpenStreetMap Nominatim,valid,verified,"Deshbandhunagar Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.614734,88.368112",https://www.openstreetmap.org/?mlat=22.614734&mlon=88.368112#map=17/22.614734/88.368112
20,Dum Dum Park Bharat Chakra Durga Puja,North Kolkata,2025,22.610512,88.399234,Dum Dum,0.3,Dum Dum Junction Railway Station,9.0,High,True,True,22:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/dum_dum_park_bharat_chakra_durga_puja.jpg,web-verified station address; locality-based assignment,"Dum Dum Park Bharat Chakra Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Dum Dum Park Bharat Chakra Durga Puja, Dum Dum Park Bharat Chakra, North Kolkata, Kolkata, West Bengal, 700055, India",OpenStreetMap Nominatim,valid,verified,"Dum Dum Park Bharat Chakra Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.610512,88.399234",https://www.openstreetmap.org/?mlat=22.610512&mlon=88.399234#map=17/22.610512/88.399234
21,Dum Dum Park Sarbojanin Durga Puja,North Kolkata,2025,22.630323,88.388545,Dum Dum,0.5,Dum Dum Junction Railway Station,7.8,Low,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/dum_dum_park_sarbojanin_durga_puja.jpg,web-verified station address; locality-based assignment,"Dum Dum Park Sarbojanin Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Dum Dum Park Sarbojanin Durga Puja, Dum Dum Park, North Kolkata, Kolkata, West Bengal, 700055, India",OpenStreetMap Nominatim,valid,verified,"Dum Dum Park Sarbojanin Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.630323,88.388545",https://www.openstreetmap.org/?mlat=22.630323&mlon=88.388545#map=17/22.630323/88.388545
22,Goabagan Sarodatsav Sammilani Durga Puja,North Kolkata,2025,22.592412,88.366934,Shyambazar,0.7,Kolkata Railway Station,7.9,Low,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/goabagan_sarodatsav_sammilani_durga_puja.jpg,web-verified station address; locality-based assignment,"Goabagan Sarodatsav Sammilani Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Goabagan Sarodatsav Sammilani Durga Puja, Goabagan Sarodatsav Sammilani, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Goabagan Sarodatsav Sammilani Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.592412,88.366934",https://www.openstreetmap.org/?mlat=22.592412&mlon=88.366934#map=17/22.592412/88.366934
23,Golaghata Sammilani Durga Puja,North Kolkata,2025,22.600234,88.377123,Shyambazar,0.9,Kolkata Railway Station,8.0,Moderate,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/golaghata_sammilani_durga_puja.jpg,web-verified station address; locality-based assignment,"Golaghata Sammilani Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Golaghata Sammilani Durga Puja, Golaghata Sammilani, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Golaghata Sammilani Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.600234,88.377123",https://www.openstreetmap.org/?mlat=22.600234&mlon=88.377123#map=17/22.600234/88.377123
24,Grey Street Sarbojanin Durga Puja,North Kolkata,2025,22.608012,88.363345,Shyambazar,1.1,Kolkata Railway Station,8.1,Moderate,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/grey_street_sarbojanin_durga_puja.jpg,web-verified station address; locality-based assignment,"Grey Street Sarbojanin Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Grey Street Sarbojanin Durga Puja, Grey Street, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Grey Street Sarbojanin Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.608012,88.363345",https://www.openstreetmap.org/?mlat=22.608012&mlon=88.363345#map=17/22.608012/88.363345
25,Halsibagan Sarbojanin Durgotsab,North Kolkata,2025,22.591823,88.373512,Shyambazar,0.3,Kolkata Railway Station,8.2,Moderate,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/halsibagan_sarbojanin_durgotsab.jpg,web-verified station address; locality-based assignment,"Halsibagan Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India",success,"Halsibagan Sarbojanin Durgotsab, Halsibagan Durgotsab, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Halsibagan Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.591823,88.373512",https://www.openstreetmap.org/?mlat=22.591823&mlon=88.373512#map=17/22.591823/88.373512
26,Hari Ghosh Street Sarbojanin,North Kolkata,2025,22.599645,88.359734,Shyambazar,0.5,Kolkata Railway Station,8.3,Moderate,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/hari_ghosh_street_sarbojanin.jpg,web-verified station address; locality-based assignment,"Hari Ghosh Street Sarbojanin, North Kolkata, Kolkata, West Bengal, India",success,"Hari Ghosh Street Sarbojanin, Hari Ghosh Street, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Hari Ghosh Street Sarbojanin, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.599645,88.359734",https://www.openstreetmap.org/?mlat=22.599645&mlon=88.359734#map=17/22.599645/88.359734
27,Hatibagan Nabinpally Sarbojanin Durgotsav,North Kolkata,2025,22.607412,88.369923,Shyambazar,0.7,Kolkata Railway Station,8.4,Moderate,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/hatibagan_nabinpally_sarbojanin_durgotsav.jpg,web-verified station address; locality-based assignment,"Hatibagan Nabinpally Sarbojanin Durgotsav, North Kolkata, Kolkata, West Bengal, India",success,"Hatibagan Nabinpally Sarbojanin Durgotsav, Hatibagan Nabinpally, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Hatibagan Nabinpally Sarbojanin Durgotsav, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.607412,88.369923",https://www.openstreetmap.org/?mlat=22.607412&mlon=88.369923#map=17/22.607412/88.369923
28,Jagat Mukherjee Park Durga Puja,North Kolkata,2025,22.598234,88.362145,Shobhabazar Sutanuti,0.9,Kolkata Railway Station,8.5,Moderate,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/jagat_mukherjee_park_durga_puja.jpg,web-verified station address; locality-based assignment,"Jagat Mukherjee Park Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Jagat Mukherjee Park Durga Puja, Jagat Mukherjee Park, North Kolkata, Kolkata, West Bengal, 700005, India",OpenStreetMap Nominatim,valid,verified,"Jagat Mukherjee Park Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.598234,88.362145",https://www.openstreetmap.org/?mlat=22.598234&mlon=88.362145#map=17/22.598234/88.362145
29,Jokermath Sarbojonin Durga Puja,North Kolkata,2025,22.605212,88.372323,Shyambazar,1.1,Kolkata Railway Station,8.6,Moderate,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/jokermath_sarbojonin_durga_puja.jpg,web-verified station address; locality-based assignment,"Jokermath Sarbojonin Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Jokermath Sarbojonin Durga Puja, Jokermath Sarbojonin, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Jokermath Sarbojonin Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.605212,88.372323",https://www.openstreetmap.org/?mlat=22.605212&mlon=88.372323#map=17/22.605212/88.372323
30,Kailash Bose Street Durga Puja,North Kolkata,2025,22.589045,88.365512,Shyambazar,0.3,Kolkata Railway Station,7.2,Low,False,True,16:00:00,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",https://images.pujapath.in/pandals/kailash_bose_street_durga_puja.jpg,web-verified station address; locality-based assignment,"Kailash Bose Street Durga Puja, North Kolkata, Kolkata, West Bengal, India",success,"Kailash Bose Street Durga Puja, Kailash Bose Street, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,valid,verified,"Kailash Bose Street Durga Puja, North Kolkata, Kolkata, West Bengal, India","https://www.google.com/maps/search/?api=1&query=22.589045,88.365512",https://www.openstreetmap.org/?mlat=22.589045&mlon=88.365512#map=17/22.589045/88.365512
