pandal_id,pandal_name,region,established_era,pandal_art_type,art_philosophy,recent_and_current_themes,past_notable_themes,idol_sculpture_style,craftsmanship_and_materials,detailed_cultural_description,awards_and_accolades,latitude,longitude,facebook_page_url,instagram_handle,nearest_metro_station,special_attractions,visitor_tips_and_timing
11,Brindaban Matri Mandir Durga Puja,North Kolkata,2006 (Over 20 Years),Eco-Friendly Vernacular Folk Art,Celebration of Bengal’s rural artisanal heritage and ecological harmony; utilizing sustainable organic raw materials to recreate village courtyards and tribal sanctuaries.,"2025: Banglar Mati, Banglar Haat (Folk Bazaar of Bengal) | 2024: Shobujer Prarthana (Ode to Green Earth) | 2023: Lok-Shilpo O Gramin Jibon",2025: Banglar Mati | 2024: Shobujer Prarthana | 2023: Lok-Shilpo | 2022: Patachitra Akhyan | 2021: Matir Gandho,"Terracotta-finished earthen clay idol with serene rustic expressions, painted with organic turmeric and chalk pigments.","Untreated bamboo strips, natural jute burlap, Bankura terracotta tiles, dry date-palm weaves, and warm incandescent glow.","Brindaban Matri Mandir Durga Puja in North Kolkata is renowned for its organic, sustainable theme approach. Embracing rural folk heritage, the pandal transports urban visitors into the peaceful sanctuary of a Bengal village, highlighting forgotten indigenous crafts and eco-friendly craftsmanship.",Biswa Bangla Sharad Samman (Eco-Friendly / Handicraft Category),22.602645,88.374712,https://www.facebook.com/BrindabanMatriMandirDurgaPujaKolkata/,@brindabanmatrimandirdurg_kolkata,Shyambazar,"Live demonstrations by rural Bengal folk craftspeople, sustainable natural installations (Dokra, Terracotta, Handloom), and rustic atmospheric village ambiance.","Visit during daytime (11:00 AM - 3:00 PM) to appreciate the natural colors, textures, and daylight detailing of the handicrafts."
12,Calcutta Youth Forum,North Kolkata,1952 (Over 74 Years),Grand Architectural Temple Replica,Bringing timeless sacred architecture from across the Indian subcontinent to Kolkata’s doorstep through meticulous sculptural imitation and light engineering.,2025: Grand Dravidian Temple of South India | 2024: Khajuraho Stone Carving Replica | 2023: Jagannath Puri Shrimandir Architecture,2025: Dravidian Temple | 2024: Khajuraho | 2023: Puri Shrimandir | 2022: Sun Temple Modhera | 2021: Golden Temple Amritsar,Majestic classical clay idol draped in opulent brocade and Benarasi silks with handcrafted filigree crowns.,"Thermocol relief panels, plaster carvings, fiberglass moldings, and extensive computer-controlled Chandannagar illumination gates.","Calcutta Youth Forum in North Kolkata dazzles festive crowds with its monumental architectural reproductions. Recreating historic temples and palaces down to the finest stone carving detail, it stands as a visual marvel that draws visitors from across Bengal.",Biswa Bangla Sharad Samman (Best Pandal Architecture & Lighting),22.610412,88.360934,https://www.facebook.com/CalcuttaYouthForumKolkata/,@calcuttayouthforum_kolkata,Shyambazar,"Colossal monumental architectural facade, dazzling 3D illuminated lighting gates by Chandannagar electrical artisans, and gold/jewel-adorned divine idol.",Expect very high footfall; visit during late midnight (1:30 AM to 4:30 AM) on Tritiya or Chaturthi to marvel at the exterior lighting with shorter lines.
13,Campbagan Sadharan Durgotsav,North Kolkata,1963 (Over 63 Years),Handloom & Traditional Handicraft Showcase,"Reviving endangered handloom weaves, bell-metal artistry, and indigenous handcraft traditions into a tactile visual sanctuary.",2025: Tant-O-Tanti (Tribute to Bengal Handloom Weavers) | 2024: Dokra O Pittol (Lost-Wax Bell Metal Magic) | 2023: Kantha-Stitch & Jamdani Odyssey,2025: Tant-O-Tanti | 2024: Dokra O Pittol | 2023: Kantha-Stitch Odyssey | 2022: Purulia Chhau Art | 2021: Shantiniketan Leather Craft,Artisan clay sculpture draped in authentic hand-woven Jamdani and Baluchari silk with bell-metal jewelry.,"Handloom wooden shuttle looms, thousands of yarn spools, Dokra brass castings, natural dyed cotton, and soft ambient flute ragas.","Campbagan Sadharan Durgotsav in North Kolkata transforms its puja pavilion into an ode to Bengal’s hereditary weavers and metalworkers. Every nook of the pandal features genuine handcrafted textures, providing livelihoods to rural craftspeople and enchanting visitors with textile elegance.",Biswa Bangla Sharad Samman (Best Handicraft Craftsmanship),22.594234,88.371123,https://www.facebook.com/CampbaganSadharanDurgotsavKolkata/,@campbagansadharandurgots_kolkata,Shyambazar,"Heritage Ekchala Pratima with authentic Sholar/Daker Saaj, traditional Kumari Puja, grand Bijoya Dashami Sindur Khela, and royal Dhunuchi Nach.",Visit early morning around 7:00 AM - 10:00 AM during Pushpanjali or late afternoon to experience tranquil heritage rituals without massive theme queues.
14,Chaltabagan Lohapatty Durga Puja,North Kolkata,1943,"Communal Harmony, Glass & Brass Craftsmanship","Spreading interfaith harmony, peace, and universal brotherhood through mesmerizing light art and intricate industrial handcraft.",2025: Shanti Tirtha (Shrine of Universal Peace) | 2024: Glass & Brass Symphony | 2023: Solar Harmony & Renewable Spirit,2025: Shanti Tirtha | 2024: Glass & Brass Symphony | 2023: Solar Energy | 2022: 80th Year Celebration | 2020: Dhak & Brass Bells,"Traditional North Kolkata Durga idol with benevolent expressive eyes, adorned in brass and crystal embellishments.","Hand-cut stained glass, antique brass bells, recycled iron sheets from Lohapatty trade, and Chandannagar chandeliers.","Founded in 1943 during World War II, Manicktala Chaltabagan Lohapatty puja has long been a symbol of communal amity. Famous for hosting traditional Dhunuchi Nach competitions with diplomatic dignitaries, it unites local merchant craft with grand festive exuberance.","Biswa Bangla Sharad Samman (Communal Harmony & Craft), Asian Paints Sharad Samman",22.584123,88.369512,https://www.facebook.com/manicktalamanicktala/,@chaltabaganlohapattydurg_kolkata,Girish Park,"Experimental contemporary installation art, immersive spatial audio-visual storytelling, conceptual clay sculptures, and social reflection galleries.",Best experienced in the evening between 8:00 PM and midnight when thematic illumination and ambient acoustic soundscapes create an immersive sensory experience.
15,Chorebagan Sarbojanin Durgotsab Samity,North Kolkata,1985 (Over 41 Years),Thought-Provoking Social Theme Installation,"Using the public pandal as a canvas for social awakening, mental health discourse, environmental preservation, and women’s empowerment.",2025: Muktir Alo (Light of Liberation & Mental Well-being) | 2024: Jal-Dharoni (Water Conservation & Future Generations) | 2023: Nari Shakti (The Divine Feminine in Modern Times),2025: Muktir Alo | 2024: Jal-Dharoni | 2023: Nari Shakti | 2022: Somoyer Ayna | 2021: Punorutthan,Modern contemporary clay idol sculpted with empathetic figurative expressions that reflect the resilience of modern women.,"Recycled metal wires, earthen kulhars, distressed wood planks, kinetic light installations, and thematic voiceover soundscapes.","Chorebagan Sarbojanin Durgotsab Samity in North Kolkata stands out for its bold, socially conscious conceptual installations. The puja committee uses modern installation art to provoke thought on contemporary humanitarian and environmental issues while maintaining deep spiritual reverence.","Asian Paints Sharad Samman (Creative Concept), Biswa Bangla Social Awareness Award",22.609845,88.367523,https://www.facebook.com/ChorebaganSarbojaninDurgotsabSamityKolkata/,@chorebagansarbojanindurg_kolkata,Shyambazar,"Experimental contemporary installation art, immersive spatial audio-visual storytelling, conceptual clay sculptures, and social reflection galleries.",Best experienced in the evening between 8:00 PM and midnight when thematic illumination and ambient acoustic soundscapes create an immersive sensory experience.
16,Cossipore Shakti Sangha Durga Puja,North Kolkata,1996 (Over 30 Years),Eco-Friendly Vernacular Folk Art,Celebration of Bengal’s rural artisanal heritage and ecological harmony; utilizing sustainable organic raw materials to recreate village courtyards and tribal sanctuaries.,"2025: Banglar Mati, Banglar Haat (Folk Bazaar of Bengal) | 2024: Shobujer Prarthana (Ode to Green Earth) | 2023: Lok-Shilpo O Gramin Jibon",2025: Banglar Mati | 2024: Shobujer Prarthana | 2023: Lok-Shilpo | 2022: Patachitra Akhyan | 2021: Matir Gandho,"Terracotta-finished earthen clay idol with serene rustic expressions, painted with organic turmeric and chalk pigments.","Untreated bamboo strips, natural jute burlap, Bankura terracotta tiles, dry date-palm weaves, and warm incandescent glow.","Cossipore Shakti Sangha Durga Puja in North Kolkata is renowned for its organic, sustainable theme approach. Embracing rural folk heritage, the pandal transports urban visitors into the peaceful sanctuary of a Bengal village, highlighting forgotten indigenous crafts and eco-friendly craftsmanship.",Biswa Bangla Sharad Samman (Eco-Friendly / Handicraft Category),22.593612,88.377734,https://www.facebook.com/CossiporeShaktiSanghaDurgaPujaKolkata/,@cossiporeshaktisanghadur_kolkata,Shyambazar,"Live demonstrations by rural Bengal folk craftspeople, sustainable natural installations (Dokra, Terracotta, Handloom), and rustic atmospheric village ambiance.","Visit during daytime (11:00 AM - 3:00 PM) to appreciate the natural colors, textures, and daylight detailing of the handicrafts."
17,Dakshin Rabindrapally Sarbojanin Durga Puja,North Kolkata,2007 (Over 19 Years),Grand Architectural Temple Replica,Bringing timeless sacred architecture from across the Indian subcontinent to Kolkata’s doorstep through meticulous sculptural imitation and light engineering.,2025: Grand Dravidian Temple of South India | 2024: Khajuraho Stone Carving Replica | 2023: Jagannath Puri Shrimandir Architecture,2025: Dravidian Temple | 2024: Khajuraho | 2023: Puri Shrimandir | 2022: Sun Temple Modhera | 2021: Golden Temple Amritsar,Majestic classical clay idol draped in opulent brocade and Benarasi silks with handcrafted filigree crowns.,"Thermocol relief panels, plaster carvings, fiberglass moldings, and extensive computer-controlled Chandannagar illumination gates.","Dakshin Rabindrapally Sarbojanin Durga Puja in North Kolkata dazzles festive crowds with its monumental architectural reproductions. Recreating historic temples and palaces down to the finest stone carving detail, it stands as a visual marvel that draws visitors from across Bengal.",Biswa Bangla Sharad Samman (Best Pandal Architecture & Lighting),22.601423,88.363945,https://www.facebook.com/DakshinRabindrapallySarbojaninDurgaPujaKolkata/,@dakshinrabindrapallysarb_kolkata,Shyambazar,"Colossal monumental architectural facade, dazzling 3D illuminated lighting gates by Chandannagar electrical artisans, and gold/jewel-adorned divine idol.",Expect very high footfall; visit during late midnight (1:30 AM to 4:30 AM) on Tritiya or Chaturthi to marvel at the exterior lighting with shorter lines.
18,Darjeepara Sarbojanin Durgotsab Samity,North Kolkata,1953 (Over 73 Years),Handloom & Traditional Handicraft Showcase,"Reviving endangered handloom weaves, bell-metal artistry, and indigenous handcraft traditions into a tactile visual sanctuary.",2025: Tant-O-Tanti (Tribute to Bengal Handloom Weavers) | 2024: Dokra O Pittol (Lost-Wax Bell Metal Magic) | 2023: Kantha-Stitch & Jamdani Odyssey,2025: Tant-O-Tanti | 2024: Dokra O Pittol | 2023: Kantha-Stitch Odyssey | 2022: Purulia Chhau Art | 2021: Shantiniketan Leather Craft,Artisan clay sculpture draped in authentic hand-woven Jamdani and Baluchari silk with bell-metal jewelry.,"Handloom wooden shuttle looms, thousands of yarn spools, Dokra brass castings, natural dyed cotton, and soft ambient flute ragas.","Darjeepara Sarbojanin Durgotsab Samity in North Kolkata transforms its puja pavilion into an ode to Bengal’s hereditary weavers and metalworkers. Every nook of the pandal features genuine handcrafted textures, providing livelihoods to rural craftspeople and enchanting visitors with textile elegance.",Biswa Bangla Sharad Samman (Best Handicraft Craftsmanship),22.609212,88.374123,https://www.facebook.com/DarjeeparaSarbojaninDurgotsabSamityKolkata/,@darjeeparasarbojanindurg_kolkata,Shyambazar,"Heritage Ekchala Pratima with authentic Sholar/Daker Saaj, traditional Kumari Puja, grand Bijoya Dashami Sindur Khela, and royal Dhunuchi Nach.",Visit early morning around 7:00 AM - 10:00 AM during Pushpanjali or late afternoon to experience tranquil heritage rituals without massive theme queues.
19,Deshbandhunagar Sarbojanin Durgotsab,North Kolkata,1964 (Over 62 Years),Heritage Traditional Sabeki,"Preservation of classical 19th-century zamindari and colonial Bengal devotional aesthetics, championing timeless Ekchala purity over modern conceptual gimmicks.",Timeless Sabeki Ekchala Protima with traditional Chandimandap architecture and thakur-dalan ambiance.,Nine decades of uncompromised classical Ekchala barowari traditions and devotion.,"Classic Ekchala idol adorned in shimmering Daker Saaj (pith and silver foil work), sporting fish-shaped elongated Trayanani eyes and royal lion mount.","Hooghly river clay, sholapith filigree work, beaten brass vessels, handcrafted wooden pillars, and traditional chandeliers.","Deshbandhunagar Sarbojanin Durgotsab in North Kolkata is a proud custodian of traditional Sabeki heritage. Eschewing transient modern themes, it preserves the authentic spiritual ambiance of classic Bengal, marked by reverberating dhak beats, fragrant dhuno incense, and family-centered community devotion.",Biswa Bangla Sharad Samman (Heritage Tradition Category),22.614734,88.368112,https://www.facebook.com/DeshbandhunagarSarbojaninDurgotsabKolkata/,@deshbandhunagarsarbojani_kolkata,Dum Dum,"Heritage Ekchala Pratima with authentic Sholar/Daker Saaj, traditional Kumari Puja, grand Bijoya Dashami Sindur Khela, and royal Dhunuchi Nach.",Visit early morning around 7:00 AM - 10:00 AM during Pushpanjali or late afternoon to experience tranquil heritage rituals without massive theme queues.
20,Dum Dum Park Bharat Chakra Durga Puja,North Kolkata,1951,Creative Conceptual Folk & Eco-Art,Reinventing rustic vernacular craft into high-modern abstract geometry; fusing indigenous tribal identity with eco-preservation.,2025: Matir Bhasha (Voice of the Soil) | 2024: Oitijhyer Khoje (Quest for Heritage) | 2023: Anuranan (Resonance of Rural Craft) | 2022: Jal o Jibon,2025: Matir Bhasha | 2024: Oitijhyer Khoje | 2023: Anuranan | 2022: Jal o Jibon | 2021: Prokriti Bandhob,Abstract tribal-inspired terracotta and stone-texture idol reflecting indigenous feminine strength and harmony with nature.,"Terracotta relief tiles, bamboo lattices, dry date-palm fronds, brass accents, and rustic acoustic flutes.","Dum Dum Park Bharat Chakra is a pioneering anchor of the Dum Dum theme cluster. Known for using humble, earthy materials to build intricate geometric marvels, its installations draw immense praise for their sustainable artistry and organic beauty.","Asian Paints Sharad Samman (Creativity & Eco-Friendly Design), Biswa Bangla Special Jury",22.610512,88.399234,https://www.facebook.com/DumDumParkBharatChakra/,@dumdumparkbharatchakradu_kolkata,Dum Dum,"Live demonstrations by rural Bengal folk craftspeople, sustainable natural installations (Dokra, Terracotta, Handloom), and rustic atmospheric village ambiance.","Visit during daytime (11:00 AM - 3:00 PM) to appreciate the natural colors, textures, and daylight detailing of the handicrafts."
